"emp_no","first_name","last_name","title","from_date","to_date"
10066,"Kwee","Schusler","Engineer","1992-02-26","1998-02-25"
10066,"Kwee","Schusler","Senior Engineer","1998-02-25","1999-01-01"
10067,"Claudi","Stavenow","Engineer","1987-03-04","1996-03-03"
10067,"Claudi","Stavenow","Senior Engineer","1996-03-03","1999-01-01"
10070,"Reuven","Garigliano","Technique Leader","1985-10-14","1999-01-01"
10072,"Hironoby","Sidou","Engineer","1989-05-21","1995-05-21"
10072,"Hironoby","Sidou","Senior Engineer","1995-05-21","1999-01-01"
10073,"Shir","McClurg","Engineer","1998-02-02","1998-02-22"
10074,"Mokhtar","Bernatsky","Technique Leader","1990-08-13","1999-01-01"
10076,"Erez","Ritzmann","Senior Engineer","1996-07-15","1999-01-01"
10088,"Jungsoon","Syrzycki","Senior Staff","1993-09-02","1999-01-01"
10088,"Jungsoon","Syrzycki","Staff","1988-09-02","1993-09-02"
10091,"Amabile","Gomatam","Engineer","1992-11-18","2001-11-18"
10091,"Amabile","Gomatam","Senior Engineer","2001-11-18","1999-01-01"
10096,"Jayson","Mandell","Engineer","1999-01-23","1999-01-01"
10097,"Remzi","Waschkowski","Senior Staff","1996-09-14","1999-01-01"
10097,"Remzi","Waschkowski","Staff","1990-09-15","1996-09-14"
10100,"Hironobu","Haraldson","Senior Staff","1994-09-21","1999-01-01"
10100,"Hironobu","Haraldson","Staff","1987-09-21","1994-09-21"
10101,"Perla","Heyers","Staff","1998-10-14","2000-09-23"
10103,"Akemi","Birch","Engineer","1998-01-12","1999-01-01"
10106,"Eben","Aingworth","Engineer","1991-10-27","1997-10-26"
10106,"Eben","Aingworth","Senior Engineer","1997-10-26","1999-01-01"
10108,"Lunjin","Giveon","Staff","1999-03-20","2001-10-20"
10116,"Dayanand","Czap","Senior Engineer","1994-02-27","1998-11-01"
10126,"Kayoko","Valtorta","Senior Staff","1991-09-08","1999-01-01"
10126,"Kayoko","Valtorta","Staff","1985-09-08","1991-09-08"
10127,"Subir","Baja","Senior Engineer","1991-05-17","1999-01-01"
10129,"Armond","Peir","Technique Leader","1996-01-16","1999-01-01"
10130,"Nishit","Casperson","Senior Engineer","1988-06-21","1999-01-01"
10131,"Magdalena","Eldridge","Engineer","1999-09-17","1999-12-06"
10134,"Diederik","Siprelle","Engineer","1987-12-12","1994-12-12"
10134,"Diederik","Siprelle","Senior Engineer","1994-12-12","1999-01-01"
10138,"Perry","Shimshoni","Engineer","1992-03-03","2001-03-03"
10138,"Perry","Shimshoni","Senior Engineer","2001-03-03","1999-01-01"
10149,"Xiadong","Perry","Staff","1994-01-28","1996-08-27"
10150,"Zhenbing","Perng","Engineer","1986-11-16","1995-11-16"
10150,"Zhenbing","Perng","Senior Engineer","1995-11-16","1999-01-01"
10152,"Jaques","Munro","Engineer","1986-01-27","1987-08-03"
10153,"Heekeun","Majewski","Assistant Engineer","2000-01-08","1999-01-01"
10157,"Nigel","Aloisi","Senior Engineer","1997-12-10","1999-01-01"
10159,"Serif","Buescher","Senior Engineer","1996-06-12","1999-01-01"
10160,"Debatosh","Khasidashvili","Senior Staff","2000-12-06","1999-01-01"
10160,"Debatosh","Khasidashvili","Staff","1993-12-06","2000-12-06"
10161,"Hairong","Mellouli","Engineer","1991-06-09","1994-01-05"
10163,"Karsten","Szmurlo","Senior Staff","1992-02-02","1999-01-01"
10166,"Samphel","Siegrist","Engineer","1996-09-02","1999-01-01"
10177,"Pragnesh","Iisaka","Staff","1993-02-06","1994-03-17"
10183,"Mechthild","Bonifati","Staff","1996-08-11","1999-01-01"
10186,"Shigehito","Kropatsch","Staff","1996-12-25","1997-08-16"
10189,"Khalid","Erva","Engineer","1992-09-13","1993-06-29"
10194,"Josyula","Hofmeyr","Senior Staff","2002-02-14","1999-01-01"
10194,"Josyula","Hofmeyr","Staff","1997-02-14","2002-02-14"
10196,"Marc","Hellwagner","Staff","1999-01-31","1999-01-01"
10198,"Pranav","Furedi","Engineer","1985-08-31","1993-08-31"
10198,"Pranav","Furedi","Senior Engineer","1993-08-31","1999-01-01"
10203,"Steen","Escriba","Senior Staff","1995-04-06","1999-01-01"
10203,"Steen","Escriba","Staff","1989-04-06","1995-04-06"
10205,"Mabhin","Leijenhorst","Senior Engineer","1993-08-23","1999-01-01"
10207,"Girolamo","Anandan","Engineer","1992-10-11","1997-10-11"
10207,"Girolamo","Anandan","Senior Engineer","1997-10-11","1999-01-01"
10215,"Xiaobin","Duclos","Senior Staff","1991-11-23","1999-01-01"
10217,"Yongmin","Roison","Technique Leader","1986-05-12","1993-08-05"
10219,"Genta","Kolvik","Senior Staff","1993-03-31","1999-01-01"
10224,"Leon","Trogemann","Engineer","1988-01-09","1996-01-09"
10224,"Leon","Trogemann","Senior Engineer","1996-01-09","1999-01-01"
10228,"Karoline","Cesareni","Senior Staff","1998-12-22","1999-01-01"
10228,"Karoline","Cesareni","Staff","1992-12-22","1998-12-22"
10229,"Ulises","Takanami","Engineer","1996-02-20","2000-06-30"
